"","rank","club","country","points"
"558",558,"Lugano","Switzerland",1421
"559",559,"Hatayspor Kulübü","Turkey",1421
"560",560,"Metz","France",1421
"561",561,"Deportivo Heredia","Guatemala",1421
"562",562,"Lechia Gdańsk","Poland",1421
"563",563,"Everton CD","Chile",1420
"564",564,"Atlético Rafaela","Argentina",1420
"565",565,"Bordeaux","France",1420
"566",566,"St. Pauli","Germany",1420
"567",567,"Mazatlán FC","Mexico",1419
"568",568,"Radnički Niš","Serbia",1419
"569",569,"Kaiserslautern","Germany",1419
"570",570,"Antigua Guatemala","Guatemala",1419
"571",571,"América de Cali","Colombia",1419
"572",572,"Olympique de Bamako","Mali",1419
"573",573,"Plaza Colonia","Uruguay",1419
"574",574,"Highlanders","Zimbabwe",1419
"575",575,"Mohun Bagan","India",1417
"576",576,"Kaizer Chiefs","South Africa",1417
"577",577,"St Patrick's","Ireland",1417
"578",578,"Adana Demirspor","Turkey",1417
"579",579,"Moskva","Russia",1416
"580",580,"FC Ruh Brest","Belarus",1416
"581",581,"Crotone","Italy",1416
"582",582,"Cobresal","Chile",1416
"583",583,"FC Groningen","Netherlands",1416
"584",584,"Guingamp","France",1415
"585",585,"CS Marítimo Madeira","Portugal",1415
"586",586,"AS Réal Bamako","Mali",1415
"587",587,"Watford","England",1413
"588",588,"Querétaro","Mexico",1413
"589",589,"Lillestrøm","Norway",1412
"590",590,"Santa Cruz","Brazil",1412
"591",591,"New York Red Bulls","United States",1412
"592",592,"Unión La Calera","Chile",1412
"593",593,"Viitorul Constanţa","Romania",1412
"594",594,"Sagan Tosu","Japan",1412
"595",595,"Gunners","Zimbabwe",1411
"596",596,"CS Constantine","Algeria",1411
"597",597,"Amkar Perm'","Russia",1411
"598",598,"Ordabasy Shymkent","Kazakhstan",1411
"599",599,"Al-Rayyan","Qatar",1410
"600",600,"IFK Göteborg","Sweden",1410
"601",601,"Audax Italiano La Florida","Chile",1409
"602",602,"RSB Berkane","Morocco",1409
"603",603,"ZESCO United","Zambia",1409
"604",604,"Boston River","Uruguay",1409
"605",605,"Atlético Tucumán","Argentina",1409
"606",606,"FC Kolos Kovalivka","Ukraine",1408
"607",607,"Benevento","Italy",1408
"608",608,"Guastatoya","Guatemala",1408
"609",609,"Mahindra United","India",1408
"610",610,"ENPPI","Egypt",1407
"611",611,"Melbourne City FC","Australia",1407
"612",612,"Macará","Ecuador",1407
"613",613,"Suwon Bluewings","South Korea",1407
"614",614,"Kisvárda Master Good","Hungary",1407
"615",615,"Sol de América","Paraguay",1407
"616",616,"Vojvodina","Serbia",1407
"617",617,"Heart of Midlothian","Scotland",1407
"618",618,"Botoşani","Romania",1407
"619",619,"Kuban' Krasnodar","Russia",1406
"620",620,"Palestino","Chile",1406
"621",621,"Le Mans","France",1406
"622",622,"Maccabi Netanya","Israel",1406
"623",623,"Gazişehir Gaziantep FK","Turkey",1406
"624",624,"Envigado","Colombia",1406
"625",625,"Criciúma","Brazil",1405
"626",626,"River Plate PR","Puerto Rico",1405
"627",627,"NŠ Mura","Slovenia",1405
"628",628,"Joinville EC","Brazil",1404
"629",629,"Fénix","Uruguay",1404
"630",630,"Chicken Inn FC","Zimbabwe",1404
"631",631,"Frosinone","Italy",1404
"632",632,"FC Brest","Belarus",1404
"633",633,"Sport Huancayo","Peru",1403
"634",634,"Atlético San Luis","Mexico",1403
"635",635,"Al Taawon","Saudi Arabia",1403
"636",636,"Nacional Asunción","Paraguay",1403
"637",637,"Rigas Futbola skola","Latvia",1403
"638",638,"MC Alger","Algeria",1402
"639",639,"Al-Ahli","Saudi Arabia",1402
